"id","reference","definition"
"1882","Inn","<p>In the modern sense, unknown in the East. The khans or caravanserais, which correspond to the European inn, are not alluded to in the Old Testament. The &quot;inn&quot; mentioned in Ex. 4:24 was just the halting-place of the caravan. In later times khans were erected for the accommodation of travellers. In Luke 2:7 the word there so rendered denotes a place for loosing the beasts of their burdens. It is rendered &quot;guest-chamber&quot; in Mark 14:14 and Luke 22:11. In Luke 10:34 the word so rendered is different. That inn had an &quot;inn-keeper,&quot; who attended to the wants of travellers.</p>"
"1883","Inspiration","<p>That extraordinary or supernatural divine influence vouchsafed to those who wrote the Holy Scriptures, rendering their writings infallible. &quot;All scripture is given by inspiration of God&quot; (R.V., &quot;Every scripture inspired of God&quot;), 2 Tim. 3:16. This is true of all the &quot;sacred writings,&quot; not in the sense of their being works of genius or of supernatural insight, but as &quot;theopneustic,&quot; i.e., &quot;breathed into by God&quot; in such a sense that the writers were supernaturally guided to express exactly what God intended them to express as a revelation of his mind and will. The testimony of the sacred writers themselves abundantly demonstrates this truth; and if they are infallible as teachers of doctrine, then the doctrine of plenary inspiration must be accepted. There are no errors in the Bible as it came from God, none have been proved to exist. Difficulties and phenomena we cannot explain are not errors. All these books of the Old and New Testaments are inspired. We do not say that they contain, but that they are, the Word of God. The gift of inspiration rendered the writers the organs of God, for the infallible communication of his mind and will, in the very manner and words in which it was originally given.</p><p>As to the nature of inspiration we have no information. This only we know, it rendered the writers infallible. They were all equally inspired, and are all equally infallible. The inspiration of the sacred writers did not change their characters. They retained all their individual peculiarities as thinkers or writers. (See [293]BIBLE; WORD OF [294]GOD.)</p>"
"1884","Intercession of Christ","<p>Christ&#39;s priestly office consists of these two parts, (1) the offering up of himself as a sacrifice, and (2) making continual intercession for us.</p><p>When on earth he made intercession for his people (Luke 23:34; John 17:20; Heb. 5:7); but now he exercises this function of his priesthood in heaven, where he is said to appear in the presence of God for us (Heb. 9:12, 24).</p><p>His advocacy with the Father for his people rests on the basis of his own all-perfect sacrifice. Thus he pleads for and obtains the fulfilment of all the promises of the everlasting covenant (1 John 2:1; John 17:24; Heb. 7:25). He can be &quot;touched with the feeling of our infirmities,&quot; and is both a merciful and a faithful high priest (Heb. 2:17, 18; 4:15, 16). This intercession is an essential part of his mediatorial work. Through him we have &quot;access&quot; to the Father (John 14:6; Eph. 2:18; 3:12). &quot;The communion of his people with the Father will ever be sustained through him as mediatorial Priest&quot; (Ps. 110:4; Rev. 7:17).</p>"
"1885","Intercession of the Spirit","<p>(Rom. 8:26, 27; John 14:26). &quot;Christ is a royal Priest (Zech. 6:13). From the same throne, as King, he dispenses his Spirit to all the objects of his care, while as Priest he intercedes for them. The Spirit acts for him, taking only of his things. They both act with one consent, Christ as principal, the Spirit as his agent. Christ intercedes for us, without us, as our advocate in heaven, according to the provisions of the everlasting covenant. The Holy Spirit works upon our minds and hearts, enlightening and quickening, and thus determining our desires &#39;according to the will of God,&#39; as our advocate within us. The work of the one is complementary to that of the other, and together they form a complete whole.&quot;, Hodge&#39;s Outlines of Theology.</p>"
"1886","Iphedeiah","<p>Set free by Jehovah, a chief of the tribe of Benjamin (1 Chr. 8:25).</p>"
"1887","Ira","<p>Citizen; wakeful. (1.) A Tekoite, one of David&#39;s thirty warriors (2 Sam. 23:26).</p><p>(2.) An Ithrite, also one of David&#39;s heroes (2 Sam. 23:38).</p><p>(3.) A Jairite and priest, a royal chaplain (2 Sam. 20:26) or confidential adviser (comp. 2 Sam. 8:18; 1 Chr. 18:17).</p>"
"1888","Irad","<p>Runner; wild ass, one of the antediluvian patriarchs, the father of Mehujael (Gen. 4:18), and grandson of Cain.</p>"
"1889","Iram","<p>Citizen, chief of an Edomite tribe in Mount Seir (Gen. 36:43).</p>"
"1890","Irhaheres","<p>According to some MSS., meaning &quot;city of destruction.&quot; Other MSS. read &#39;Irhahares; rendered &quot;city of the sun&quot;, Isa. 19:18, where alone the word occurs. This name may probably refer to Heliopolis. The prophecy here points to a time when the Jews would so increase in number there as that the city would fall under their influence. This might be in the time of the Ptolemies. (See [295]ON.)</p>"
"1891","Iron","<p>Tubal-Cain is the first-mentioned worker in iron (Gen. 4:22). The Egyptians wrought it at Sinai before the Exodus. David prepared it in great abundance for the temple (1 Chr. 22:3: 29:7). The merchants of Dan and Javan brought it to the market of Tyre (Ezek. 27:19). Various instruments are mentioned as made of iron (Deut. 27:5; 19:5; Josh. 17:16, 18; 1 Sam. 17:7; 2 Sam. 12:31; 2 Kings 6:5, 6; 1 Chr. 22:3; Isa. 10:34).</p><p>Figuratively, a yoke of iron (Deut. 28:48) denotes hard service; a rod of iron (Ps. 2:9), a stern government; a pillar of iron (Jer. 1:18), a strong support; a furnace of iron (Deut. 4:20), severe labour; a bar of iron (Job 40:18), strength; fetters of iron (Ps. 107:10), affliction; giving silver for iron (Isa. 60:17), prosperity.</p>"
"1892","Irrigation","<p>As streams were few in Palestine, water was generally stored up in winter in reservoirs, and distributed through gardens in numerous rills, which could easily be turned or diverted by the foot (Deut. 11:10).</p><p>For purposes of irrigation, water was raised from streams or pools by water-wheels, or by a shaduf, commonly used on the banks of the Nile to the present day.</p>"
"1893","Isaac","<p>Laughter. (1) Israel, or the kingdom of the ten tribes (Amos 7:9, 16).</p><p>(2.) The only son of Abraham by Sarah. He was the longest lived of the three patriarchs (Gen. 21:1-3). He was circumcised when eight days old (4-7); and when he was probably two years old a great feast was held in connection with his being weaned.</p><p>The next memorable event in his life is that connected with the command of God given to Abraham to offer him up as a sacrifice on a mountain in the land of Moriah (Gen. 22). (See [296]ABRAHAM.) When he was forty years of age Rebekah was chosen for his wife (Gen. 24). After the death and burial of his father he took up his residence at Beer-lahai-roi (25:7-11), where his two sons, Esau and Jacob, were born (21-26), the former of whom seems to have been his favourite son (27, 28).</p><p>In consequence of a famine (Gen. 26:1) Isaac went to Gerar, where he practised deception as to his relation to Rebekah, imitating the conduct of his father in Egypt (12:12-20) and in Gerar (20:2). The Philistine king rebuked him for his prevarication.</p><p>After sojourning for some time in the land of the Philistines, he returned to Beersheba, where God gave him fresh assurance of covenant blessing, and where Abimelech entered into a covenant of peace with him.</p><p>The next chief event in his life was the blessing of his sons (Gen. 27:1). He died at Mamre, &quot;being old and full of days&quot; (35:27-29), one hundred and eighty years old, and was buried in the cave of Machpelah.</p><p>In the New Testament reference is made to his having been &quot;offered up&quot; by his father (Heb. 11:17; James 2:21), and to his blessing his sons (Heb. 11:20). As the child of promise, he is contrasted with Ishmael (Rom. 9:7, 10; Gal. 4:28; Heb. 11:18).</p><p>Isaac is &quot;at once a counterpart of his father in simple devoutness and purity of life, and a contrast in his passive weakness of character, which in part, at least, may have sprung from his relations to his mother and wife. After the expulsion of Ishmael and Hagar, Isaac had no competitor, and grew up in the shade of Sarah&#39;s tent, moulded into feminine softness by habitual submission to her strong, loving will.&quot; His life was so quiet and uneventful that it was spent &quot;within the circle of a few miles; so guileless that he let Jacob overreach him rather than disbelieve his assurance; so tender that his mother&#39;s death was the poignant sorrow of years; so patient and gentle that peace with his neighbours was dearer than even such a coveted possession as a well of living water dug by his own men; so grandly obedient that he put his life at his father&#39;s disposal; so firm in his reliance on God that his greatest concern through life was to honour the divine promise given to his race.&quot;, Geikie&#39;s Hours, etc.</p>"
"1894","Isaiah","<p>(Heb. Yesh&#39;yahu, i.e., &quot;the salvation of Jehovah&quot;). (1.) The son of Amoz (Isa. 1:1; 2:1), who was apparently a man of humble rank. His wife was called &quot;the prophetess&quot; (8:3), either because she was endowed with the prophetic gift, like Deborah (Judg. 4:4) and Huldah (2 Kings 22:14-20), or simply because she was the wife of &quot;the prophet&quot; (Isa. 38:1). He had two sons, who bore symbolical names.</p><p>He exercised the functions of his office during the reigns of Uzziah (or Azariah), Jotham, Ahaz, and Hezekiah (1:1). Uzziah reigned fifty-two years (B.C. 810-759), and Isaiah must have begun his career a few years before Uzziah&#39;s death, probably B.C. 762. He lived till the fourteenth year of Hezekiah, and in all likelihood outlived that monarch (who died B.C. 698), and may have been contemporary for some years with Manasseh. Thus Isaiah may have prophesied for the long period of at least sixty-four years.</p><p>His first call to the prophetical office is not recorded. A second call came to him &quot;in the year that King Uzziah died&quot; (Isa. 6:1). He exercised his ministry in a spirit of uncompromising firmness and boldness in regard to all that bore on the interests of religion. He conceals nothing and keeps nothing back from fear of man. He was also noted for his spirituality and for his deep-toned reverence toward &quot;the holy One of Israel.&quot;</p><p>In early youth Isaiah must have been moved by the invasion of Israel by the Assyrian monarch Pul (q.v.), 2 Kings 15:19; and again, twenty years later, when he had already entered on his office, by the invasion of Tiglath-pileser and his career of conquest. Ahaz, king of Judah, at this crisis refused to co-operate with the kings of Israel and Syria in opposition to the Assyrians, and was on that account attacked and defeated by Rezin of Damascus and Pekah of Samaria (2 Kings 16:5; 2 Chr. 28:5, 6). Ahaz, thus humbled, sided with Assyria, and sought the aid of Tiglath-pileser against Israel and Syria. The consequence was that Rezin and Pekah were conquered and many of the people carried captive to Assyria (2 Kings 15:29; 16:9; 1 Chr. 5:26). Soon after this Shalmaneser determined wholly to subdue the kingdom of Israel. Samaria was taken and destroyed (B.C. 722). So long as Ahaz reigned, the kingdom of Judah was unmolested by the Assyrian power; but on his accession to the throne, Hezekiah (B.C. 726), who &quot;rebelled against the king of Assyria&quot; (2 Kings 18:7), in which he was encouraged by Isaiah, who exhorted the people to place all their dependence on Jehovah (Isa. 10:24; 37:6), entered into an alliance with the king of Egypt (Isa. 30:2-4). This led the king of Assyria to threaten the king of Judah, and at length to invade the land. Sennacherib (B.C. 701) led a powerful army into Palestine. Hezekiah was reduced to despair, and submitted to the Assyrians (2 Kings 18:14-16). But after a brief interval war broke out again, and again Sennacherib (q.v.) led an army into Palestine, one detachment of which threatened Jerusalem (Isa. 36:2-22; 37:8). Isaiah on that occasion encouraged Hezekiah to resist the Assyrians (37:1-7), whereupon Sennacherib sent a threatening letter to Hezekiah, which he &quot;spread before the Lord&quot; (37:14). The judgement of God now fell on the Assyrian host. &quot;Like Xerxes in Greece, Sennacherib never recovered from the shock of the disaster in Judah. He made no more expeditions against either Southern Palestine or Egypt.&quot; The remaining years of Hezekiah&#39;s reign were peaceful (2 Chr. 32:23, 27-29). Isaiah probably lived to its close, and possibly into the reign of Manasseh, but the time and manner of his death are unknown. There is a tradition that he suffered martyrdom in the heathen reaction in the time of Manasseh (q.v.).</p><p>(2.) One of the heads of the singers in the time of David (1 Chr. 25:3, 15, &quot;Jeshaiah&quot;).</p><p>(3.) A Levite (1 Chr. 26:25). (4.) Ezra 8:7. (5.) Neh. 11:7.</p>"
